address,latitude,longitude
"M3, Fleet, GU51 1AA, UK",51.296587903656, -0.855617970627
"M3, Fleet, GU51 1AA, UK",51.296587903656, -0.855617970627
"Pier Four Road North, Gatwick, RH6 0NP, UK",51.157928510177, -0.163944494056
"Departures Road, Gatwick, RH6 0NP, UK",51.157928510177, -0.163944494056
"Perimeter Road East, Gatwick, RH6 0NP, UK",51.157928510177, -0.163944494056
"Perimeter Road East, Gatwick, RH6 0NP, UK",51.157928510177, -0.163944494056
"Gatwick Airport - South Airside Pier3 UNIT 3B, Gatwick, RH6 0NP, UK",51.157928510177, -0.163944494056
"Departures Road, Gatwick, RH6 0NP, UK",51.157928510177, -0.163944494056
"144-146 Queen Street, Glasgow, G1 3BS, UK",55.860539086098, -4.251059388859
"34 Sauchiehall Street, Glasgow, G2 3AH, UK",55.864631298866, -4.254889583334
"65-69 Bothwell Street, Glasgow, G2 6TS, UK",55.860981105762, -4.260729674371
"27 Gordon Street, Glasgow, G1 3PL, UK",55.860309589589, -4.255325609937
"268 Byres Road, Glasgow, G12 8SH, UK",55.875445714162, -4.293165376546
"Gordon Street, Glasgow, G1 3PL, UK",55.860364908819, -4.254476356159
"Unit 68, Gloucester Quays Designer Outlet Gloucester Quays, Gloucester, GL1 5SH, UK",51.860509692626, -2.252952895245
"West Thurrock Way, Grays, RM20 2ZP, UK",51.483689186388, 0.284995646349
"Eastern Mall, Greenhithe, DA9 9SH, UK",51.439324883483, 0.272501958661
"26/28 Swan Lane, Guildford, GU1 4EQ, UK",51.235961597988, -0.574525567039
"4-6 James Street, Harrogate, HG1 1RF, UK",53.99235038309, -1.538759863514
"68-70 Saint Anns Road, Harrow, HA1 1JX, UK",51.581659992962, -0.336817475193
"Swindon Road, Heathrow, TW6 3XA, UK",51.458490901374, -0.449031880335
"1-2 Bush walk 37 market place, Heathrow, RG40 1AT, UK",51.410658397437, -0.833383715168
"12-16 Market Place, Henley-on-Thames, RG9 2AH, UK",51.537713004061, -0.90545400088
"18/19 M62, Heywood, OL10 2QH, UK",53.566822816416, -2.22540308825
"14-15 West Street, Horsham, RH12 1PB, UK",51.063288054838, -0.332180572709
"Cromer Road West, Hounslow, TW6 1QG, UK",51.470410512514, -0.456358334262
"Widgeon Road, Hounslow, TW6 2GA, UK",51.471491694204, -0.487258639414
"Contrail Way, Hounslow, TW6 1QG, UK",51.470193715107, -0.454220323067
"Wellington Road, Hounslow, TW6 2GA, UK",51.473294704442, -0.489769354691
"Cayley Road, Hounslow, TW6 1EW, UK",51.470946199946, -0.45030224158
"198 High Street, Hounslow, TW3 1HL, UK",51.468638779594, -0.362849699488
"130 Eastern Avenue, Ilford, IG4 5AQ, UK",51.575879079254, 0.046240884988
"A591 Near Windermere, Ings, LA8 9PY, UK",54.380262379712, -2.853321294698
"85-87 Clarence Street, Kingston upon Thames, KT1 1RB, UK",51.41084858282, -0.30196367777
"1 Church Street, Kingston upon Thames, KT1 1JP, UK",51.410113992826, -0.305738635504
"32 M6, Lancaster, LA2 9DU, UK",53.96165718509, -2.760577799175
"New Station Street, Leeds, LS1 5DL, UK",53.795488092022, -1.545112236191
"42-44 Woodhouse Lane, Leeds, LS2 8LX, UK",53.80137399016, -1.544775199864
"Century Way, Leeds, LS15 8GH, UK",53.799926812667, -1.425414970808
"6 Lands Lane, Leeds, LS1 6AW, UK",53.797691694367, -1.54328833406
"10 Infirmary Street, Leeds, LS1 2JP, UK",53.797390700224, -1.549099591351
"4 Wellington Place, Leeds, LS1 4AP, UK",53.795651413405, -1.556990734095
"25-27 Gallowtree Gate, Leicester, LE1 5AD, UK",52.635913177883, -1.132859680515
"M4, Leigh Delamere, SN14 6LB, UK",51.510595219552, -2.157376814823
"3 Derby Square, Liverpool, L2 9UJ, UK",53.405197846426, -2.989874902642
"4 Paradise Street, Liverpool, L1 8BQ, UK",53.404813284709, -2.987423028325
"1 Old Hall Street, Liverpool, L3 9SX, UK",53.408014584988, -2.993013422467
"Broad Lane, London, N15 4QT, UK",51.587091949843, -0.063746328813
